,lat,lon
72,66.2287489413,-72.1583576861
73,66.0647644164,-104.619537436
74,65.9668793689,-52.0962452858
75,65.9018305015,-137.080717186
76,65.8045655841,-84.5574250357
77,65.6432687755,-117.018604785
78,65.546970436,-64.4953126354
79,65.3872591802,-96.9564923852
80,65.2918972848,-44.4332002351
81,65.2285138827,-129.417672135
82,65.1337226379,-76.8943799849
83,64.9764846033,-109.355559735
84,64.8825840093,-56.8322675846
85,64.8201655738,-141.816739484
86,64.7268081551,-89.2934473344
87,64.6337718246,-36.7701551843
88,64.5719242393,-121.754627084
89,64.4794152355,-69.2313349341
90,64.3259247992,-101.692514684
91,64.2342398228,-49.1692225338
92,64.1732850131,-134.153694434
93,64.0821031729,-81.6304022836
94,63.9307932949,-114.091582033
95,63.8403982226,-61.5682898833
96,63.6903814531,-94.0294696331
97,63.6007515681,-41.506177483
98,63.5411549205,-126.490649383
99,63.4519927436,-73.9673572328
100,63.3040029643,-106.428536983
101,63.2155729086,-53.9052448325
102,63.0687871675,-86.3664245823
103,62.9227379579,-118.827604332
104,62.8354569988,-66.304312182
105,62.6905615925,-98.7654919318
106,62.6039640444,-46.2421997817
107,62.5463723887,-131.226671682
108,62.4601932033,-78.7033795315
109,62.317110899,-111.164559281
110,62.2315875607,-58.6412671312
111,62.089584816,-91.102446881
112,62.0047012509,-38.5791547309
113,61.9482433962,-123.563626631
114,61.8637518089,-71.0403344807
115,61.7234478051,-103.501514231
116,61.639571203,-50.9782220804
117,61.5002799946,-83.4394018302
118,61.361609699,-115.90058158
119,61.2787017936,-63.3772894299
120,61.1410062607,-95.8384691797
121,61.0586764655,-43.3151770296
122,60.9219334302,-75.7763567794
123,60.785774763,-108.237536529
124,60.7043566457,-55.7142443791
125,60.5691160144,-88.1754241289
126,60.434438845,-120.636603879
127,60.3538997865,-68.1133117286
128,60.2201081704,-100.574491478
129,60.1400946672,-48.0511993283
130,60.0071695308,-80.5123790781
131,59.8747765517,-112.973558828
132,59.7955932652,-60.4502666778
133,59.6640371587,-92.9114464276
134,59.532995217,-125.372626177
135,59.4546140749,-72.8493340273
136,59.3243810029,-105.310513777
137,59.2464801919,-52.787221627
138,59.1170395024,-85.2484013768
139,58.9880859191,-117.709581127
140,58.9109450355,-65.1862889765
141,58.7827581766,-97.6474687263
142,58.5786374853,-77.585356326
143,58.4516644977,-110.046536076
144,58.3757002588,-57.5232439257
145,58.2494552869,-89.9844236756
146,58.1236582273,-122.445603425
147,58.0483927661,-69.9223112752
148,57.9233013135,-102.383491025
149,57.7240561224,-82.3213786248
150,57.6000832129,-114.782558375
151,57.5259019807,-62.2592662245
152,57.4026007519,-94.7204459743
153,57.2061770397,-74.658333574
154,57.0839413466,-107.119513324
155,57.0107929562,-54.5962211737
156,56.8891975662,-87.0574009235
157,56.7679965875,-119.518580673
158,56.6954635046,-66.9952885232
159,56.5748845668,-99.456468273
160,56.3827537122,-79.3943558727
161,56.2631626329,-111.855535622
162,56.1915870904,-59.3322434724
163,56.0725902643,-91.7934232222
164,55.8829555924,-71.7313108219
165,55.7649030787,-104.192490572
166,55.5767587502,-84.1303781714
167,55.4596251096,-116.591557921
168,55.3895116505,-64.0682657711
169,55.2729312954,-96.5294455209
170,55.0871110379,-76.4673331206
171,54.9714107103,-108.92851287
172,54.9021502608,-56.4052207203
173,54.78698012,-88.8664004701
174,54.672137068,-121.32758022
175,54.6033868942,-68.8042880698
176,54.4890604899,-101.26546782
177,54.3068000531,-81.2033554193
178,54.1932960981,-113.664535169
179,54.1253431189,-61.141243019
180,54.0123350725,-93.6024227688
181,53.8321576646,-73.5403103685
182,53.7199394376,-106.001490118
183,53.5410102568,-85.939377718
184,53.4295626667,-118.400557468
185,53.3628341799,-65.8772653177
186,53.2518516104,-98.3384450675
187,53.0748757008,-78.2763326672
188,52.9646343019,-110.737512417
189,52.8986242213,-58.2142202669
190,52.7888302584,-90.6754000167
191,52.6137337497,-70.6132876164
192,52.5046532338,-103.074467366
193,52.3306850486,-83.0123549659
194,52.2223016282,-115.473534716
195,52.1573983882,-62.9502425656
